Depth Value,Status,Assignee,Due Date,Status Text,Roll up children's status,Name,Description,Success Criteria,Shared
2.8.1.4,Not Started,Not Assigned,No due date,,false,Oracle (OCI) Setup,"Setup Documentation ( https://docs.datadoghq.com/cloud_cost_management/setup/oracle/ )

Prerequisites:

* OCI tenancy
* OCI integration installed in Datadog",Once completed data should flow to the Datadog console,false
2.8.1.5,Not Started,Not Assigned,No due date,,false,SaaS Cost Integrations,"Documentation link ( https://docs.datadoghq.com/cloud_cost_management/setup/saas_costs/?tab=snowflake ). As of Oct. 24, 2025 the following are available. Build the customers required tools in your cloned version of this template.

* Snowflake
* Databricks
* OpenAI
* Anthropic
* Github
* Confluent Cloud
* MongoDB
* Elastic
* Fastly
* Twilio",Once configured data should flow to the Datadog console,false
2.8.2,Complete,Not Assigned,No due date,All scenarios completed on 04/6/2026,false,Cost Allocation,,,false
2.8.2.1,Not Started,Not Assigned,No due date,,false,Tag Pipelines,"Setup Documentation ( https://docs.datadoghq.com/cloud_cost_management/tags/tag_pipelines/ )

It is possible to create a ruleset and tag rule even it if will not be used during the POV",Tag should be visible and possibly used in a report or dashboard.,false
2.8.2.2,Not Started,Not Assigned,No due date,,false,Container / Big Query Cost Allocation,"This is used for container and Big Query costs. Remove this section if the customer doesn't have a requirement for either of these two use cases.

Setup Documentation ( https://docs.datadoghq.com/cloud_cost_management/cost_allocation )

* There are specific agent requirements ( https://docs.datadoghq.com/cloud_cost_management/cost_allocation/container_cost_allocation/?tab=aws#prerequisites ) for container allocation",Validate that costs have been correctly allocated.,false
2.8.2.3,Not Started,Not Assigned,No due date,,false,Custom Cost Allocation,Setup Documentation ( https://docs.datadoghq.com/cloud_cost_management/custom_allocation_rules?tab=even ),Validate costs are allocated correctly.,false
2.8.2.4,Not Started,Not Assigned,No due date,,false,Cost Recommendations,Documentation ( https://docs.datadoghq.com/cloud_cost_management/recommendations ),Review cloud cost recommendations,false
2.8.3,Complete,Not Assigned,No due date,All scenarios completed on 04/6/2026,false,Operationalizing Cost Data,,,false
2.8.3.1,Not Started,Not Assigned,No due date,,false,Reports,*Update for customer:* Link to reports tab ( https://demo.datadoghq.com/cost/analyze/dashboards ).,Create up to 2 custom dashboards to show cost allocations required.,false
2.8.3.2,Not Started,Not Assigned,No due date,,false,Dashboards,*Update link for customer:* Link to Dashboards ( https://demo.datadoghq.com/cost/analyze/dashboards ),Create up to 2 custom dashboards to be used,false
2.8.3.3,Not Started,Not Assigned,No due date,,false,Cost Monitors,Setup Documentation ( https://docs.datadoghq.com/cloud_cost_management/#create-a-cost-monitor ),Create up to 3 cost monitors for use.,false
3,Complete,Not Assigned,No due date,All scenarios completed on 04/6/2026,false,Phase 2: Inside the UI,,,false
3.1,Complete,Not Assigned,No due date,All scenarios completed on 04/6/2026,false,Dashboards & Visualizations,,,false
3.1.1,Not Started,Not Assigned,No due date,,false,(Informational) Using Tags,(Informational) Using Tags ( https://docs.datadoghq.com/getting_started/tagging/using_tags?tab=assignment ),,false
3.1.10,Not Started,Not Assigned,No due date,,false,Annotate Graphs and Collaborate,Annotate Graphs and Collaborate ( https://www.datadoghq.com/blog/real-time-graph-annotations/#add-graph-annotations-instantly ),,false
3.1.11,Not Started,Not Assigned,No due date,,false,Host Map - Explore Tags and Aggregate Data,Host Map - Explore Tags and Aggregate Data ( https://docs.datadoghq.com/graphing/infrastructure/hostmap/#overview ),,false
3.1.12,Not Started,Not Assigned,No due date,,false,Configure log archive,Configure log archive ( https://docs.datadoghq.com/logs/archives/?tab=awss3 ),,false
3.1.13,Not Started,Not Assigned,No due date,,false,Configure logging without limits (Index exclusion filters),Configure logging without limits (Index exclusion filters) ( https://docs.datadoghq.com/logs/indexes/#exclusion-filters ),,false
3.1.2,Not Started,Not Assigned,No due date,,false,Getting Started With Dashboards,Getting Started With Dashboards ( https://docs.datadoghq.com/getting_started/dashboards/ ),,false
3.1.3,Not Started,Not Assigned,No due date,,false,Build Dashboards,Build Dashboards ( https://docs.datadoghq.com/dashboards/ ),,false
3.1.4,Not Started,Not Assigned,No due date,,false,Create Service Level Objectives,Create Service Level Objectives ( https://app.datadoghq.com/slo ),,false
3.1.5,Not Started,Not Assigned,No due date,,false,Overlay Events on Timeseries Graphs,Overlay Events on Timeseries Graphs ( https://docs.datadoghq.com/graphing/dashboards/widgets/#overlay-events-on-your-graph ),,false
3.1.6,Not Started,Not Assigned,No due date,,false,DNS Monitoring,DNS Monitoring ( https://docs.datadoghq.com/network_monitoring/dns/ ),,false
3.1.7,Not Started,Not Assigned,No due date,,false,Network Map,Network Map ( https://docs.datadoghq.com/network_monitoring/performance/network_map/ ),,false
3.1.8,Not Started,Not Assigned,No due date,,false,Network Page,Network Page ( https://docs.datadoghq.com/network_monitoring/performance/network_page/ ),,false
3.1.9,Not Started,Not Assigned,No due date,,false,Search and Manage Synthetic Tests,Search and Manage Synthetic Tests ( https://docs.datadoghq.com/synthetics/search/ ),,false
3.2,Complete,Not Assigned,No due date,All scenarios completed on 04/6/2026,false,Alerting,,,false
3.2.1,Not Started,Not Assigned,No due date,,false,Datadog Alerting ,Datadog Alerting ( https://docs.datadoghq.com/monitors/ ),,false
3.2.10,Not Started,Not Assigned,No due date,,false,Leverage anomaly detection,Leverage anomaly detection ( https://docs.datadoghq.com/monitors/monitor_types/anomaly/ ),,false
3.2.2,Not Started,Not Assigned,No due date,,false,Watchdog AI,Watchdog AI ( https://docs.datadoghq.com/watchdog/#overview ),,false
3.2.3,Not Started,Not Assigned,No due date,,false,Create monitors (alerting),Create monitors (alerting) ( https://docs.datadoghq.com/monitors/monitor_types/ ),,false
3.2.4,Not Started,Not Assigned,No due date,,false,Monitor based SLOs,Monitor based SLOs ( https://docs.datadoghq.com/monitors/service_level_objectives/monitor/#overview ),,false
3.2.5,Not Started,Not Assigned,No due date,,false,Manage Monitors,Manage Monitors ( https://docs.datadoghq.com/monitors/manage_monitor/ ),,false
3.2.6,Not Started,Not Assigned,No due date,,false,Point and click Timeboard graphs to create alerts,Point and click Timeboard graphs to create alerts ( https://cl.ly/7c15db13c00e ),,false
3.2.7,Not Started,Not Assigned,No due date,,false,Customize notification messages,Customize notification messages ( https://docs.datadoghq.com/monitors/notifications/?tab=is_alertis_warning#advanced-variable-usage ),,false
3.2.8,Not Started,Not Assigned,No due date,,false,Leverage outlier detection,Leverage outlier detection ( https://docs.datadoghq.com/monitors/monitor_types/outlier/ ),,false
3.2.9,Not Started,Not Assigned,No due date,,false,Apply metric forecasting,Apply metric forecasting ( https://docs.datadoghq.com/monitors/monitor_types/forecasts/#forecast-algorithms ),,false
4,Complete,Not Assigned,No due date,All scenarios completed on 04/6/2026,false,Phase 3: POV Review,,,false
4.1,Not Started,Not Assigned,No due date,,false,End of POV Review,,,false
